bs,hours,kd_knn_comp_t,scan_knn_comp_t
40,0.5,208.86743068695068,1734.074592590332
40,1.0,279.6396017074585,2551.4386892318726
40,2.0,413.8669967651367,2822.9323625564575
40,3.0,561.0635280609131,3429.616093635559
40,4.0,690.1950836181641,4066.721558570862
40,5.0,768.8219547271729,4353.7797927856445
40,6.0,961.3324403762817,4672.91247844696
40,7.0,1016.4762735366821,5615.517616271973
40,8.0,1240.644931793213,5940.254330635071
40,9.0,1274.2400169372559,6347.439646720886
40,10.0,1503.652572631836,6938.332557678223
40,11.0,1518.3660984039307,7335.66951751709
100,0.5,141.1147117614746,1788.5643243789673
100,1.0,208.51528644561768,3027.294158935547
100,2.0,348.891019821167,4582.368016242981
100,3.0,487.3160123825073,5816.732287406921
100,4.0,629.5167207717896,6880.615949630737
100,5.0,845.1032638549805,7693.241000175476
100,6.0,903.2844305038452,8981.716394424438
100,7.0,1037.5118255615234,9636.595368385315
100,8.0,1192.8300857543945,10783.62500667572
100,9.0,1323.9532709121704,11500.171065330505
100,10.0,1455.1026821136475,12811.554193496704
100,11.0,1592.0449495315552,13862.0525598526
