bs,hours,kd_knn_bound_comp_t,scan_knn_bound_comp_t
40,0.5,206.97784423828125,1752.8573274612427
40,1.0,274.21092987060547,2225.283622741699
40,2.0,402.2190570831299,2847.6206064224243
40,3.0,529.2679071426392,3463.8350009918213
40,4.0,665.6826734542847,4131.900429725647
40,5.0,746.9767332077026,4389.092206954956
40,6.0,927.6754856109619,5022.388577461243
40,7.0,981.730580329895,5724.695086479187
40,8.0,1206.498146057129,6116.15788936615
40,9.0,1234.6123456954956,6378.908276557922
40,10.0,1469.1241979599,7059.888958930969
40,11.0,1473.4411239624023,7244.354963302612
100,0.5,136.9079351425171,2249.2754459381104
100,1.0,202.79157161712646,3030.424118041992
100,2.0,339.6115303039551,4585.052251815796
100,3.0,468.8793420791626,5772.801160812378
100,4.0,611.3345623016357,6642.636656761169
100,5.0,741.9142723083496,7639.784932136536
100,6.0,879.1643381118774,8904.885530471802
100,7.0,1006.2887668609619,9593.68622303009
100,8.0,1149.896740913391,10996.936678886414
100,9.0,1264.113426208496,11986.74488067627
100,10.0,1422.6105213165283,12919.194340705872
100,11.0,1540.6849384307861,13492.125868797302
