bs,kd_query_ball_comp_t,scan_query_ball(tm)_comp_t,scan_query_ball(sp)_comp_t
30,1666.6288375854492,8489.314556121826,7681.284427642822
40,1460.71457862854,8677.950143814087,7843.937397003174
50,1028.3323526382446,8677.950143814087,7843.937397003174
60,822.2975730895996,8594.184160232544,7705.516695976257
70,722.7470874786377,8833.12201499939,7766.2835121154785
80,836.5501165390015,8906.55541419983,7871.361613273621
90,652.6665687561035,8828.441262245178,7863.030910491943
100,647.2935676574707,8863.542675971985,7875.526428222656
110,566.3503408432007,7859.795808792114,7313.321471214294
