bs,hours,kd_query_ball_comp_t,scan_query_ball(tm)_comp_t,scan_query_ball(sp)_comp_t
40,0.5,146.86858654022217,1501.244068145752,7797.447562217712
40,1.0,156.80789947509766,1608.9099645614624,7774.050951004028
40,2.0,194.5425271987915,1801.7560243606567,7805.050015449524
40,3.0,208.17184448242188,2002.402901649475,7773.106336593628
40,4.0,253.38637828826904,2204.6921253204346,7782.930970191956
40,5.0,254.78577613830566,2398.466467857361,7778.492569923401
40,6.0,311.41936779022217,2597.384214401245,7783.734917640686
40,7.0,300.82952976226807,2792.4381494522095,7800.269722938538
40,8.0,366.68944358825684,2996.978759765625,7791.265606880188
40,9.0,343.4375524520874,3172.95241355896,7784.418106079102
40,10.0,427.51073837280273,3387.7192735671997,7786.161661148071
40,11.0,387.69710063934326,3583.3030939102173,7820.6669092178345
100,0.5,79.07330989837646,1537.400245666504,7806.894540786743
100,1.0,99.84374046325684,1789.0875339508057,7823.451280593872
100,2.0,132.12180137634277,2287.768602371216,7811.946988105774
100,3.0,168.69819164276123,2780.3797721862793,7793.083310127258
100,4.0,210.60657501220703,3277.124047279358,7841.519832611084
100,5.0,229.69937324523926,3743.9515590667725,7792.154431343079
100,6.0,274.2263078689575,4261.1106634140015,7811.567664146423
100,7.0,297.42884635925293,4702.507138252258,7791.391730308533
100,8.0,339.0486240386963,5206.824541091919,7835.639476776123
100,9.0,362.7951145172119,5658.1785678863525,7808.885335922241
100,10.0,408.04433822631836,6160.872459411621,7811.572909355164
100,11.0,425.936222076416,6580.373167991638,7803.228378295898
