bs,kd_range_comp_t,scan_range(tm)_comp_t,scan_range(sp)_comp_t
30,1836.0868692398071,6768.732070922852,5655.425429344177
40,1556.0840368270874,6569.907307624817,5427.2249937057495
50,1321.9332695007324,6430.644512176514,5333.393692970276
60,1207.4086666107178,6358.066082000732,5274.85728263855
70,1127.7321577072144,6315.937161445618,5218.619585037231
80,1031.8740606307983,6298.144698143005,5194.339990615845
90,985.7878684997559,6252.808332443237,5185.5316162109375
100,914.3877029418945,6305.549383163452,5178.166151046753
110,885.6821060180664,6217.466711997986,5149.140477180481
